tweet,polarity,sentiment
MydonkeyissensitiveaboutsuchcommentsNeverthelesshedandmedbegladtoseeyourmugasapChargerisstillawol,0.0,Neutral
NonewcsitonightFML,0.0,Neutral
ithinkmyarmsaresorefromtennis,0.0,Neutral
wonderswhysomeonethatulikesomuchcanmakeyousounhappyinasplitsecconddepressed,0.0,Neutral
sleepsoonijusthatesayingbyeandseeyoutomorrowforthenight,0.0,Neutral
justgoturnewsletterthosefaresreallyareunbelievableshameIalreadybookedandpaidformine,0.0,Neutral
missintheboo,0.0,Neutral
DamnIdonthaveanychalkMYCHALKBOARDISUSELESS,0.0,Neutral
hadablastattheGettyVillabuthatesthatsheshadasorethroatalldayItsjustgettingworsetoo,0.0,Neutral
heymissedyaatthemeetingsupmama,0.0,Neutral
MytummyhurtsIwonderifthehypnosishasanythingtodowithitIfsoitsworkingIgetitSTOPSMOKING,0.0,Neutral
whyisitalwaysthefatones,0.0,Neutral
SorrybabeMyfamannoysmetooThankfullytheyreasleeprightnowMuahahaevillaugh,0.0,Neutral
Ishouldhavepaidmoreattentionwhenwecoveredphotoshopinmywebpagedesignclassinundergrad,0.0,Neutral
wednesdaymybdaydontknowwhat2do,0.0,Neutral
Poorcameronthehills,0.0,Neutral
prayformepleasetheexisthreateningtostartshatmyourbabies1stBirthdaypartywhatajerkandIstillhaveaheadache,0.0,Neutral
hmmdoureallyenjoybeingwithhimiftheproblemsaretooconstantsushouldthinkthingsmorefindsomeoneulike,0.0,Neutral
Striderisasicklittlepuppy,0.0,Neutral
soryleegracewanagostevespartyornotSADLYSINCEITSEASTERIWNTBABLE2DOMUCHBUTOHHWELL,0.0,Neutral
heyIactuallywononeofmybracketpoolsToobaditwasnttheoneformoney,0.0,Neutral
YOUdontfollowmeeitherandiworkforyou,0.0,Neutral
AbadniteforthefavoriteteamsAstrosandSpartansloseTheniteoutwithTWwasgood,0.0,Neutral
BodyOfMissingNorthernCalifGirlFoundPolicehavefoundtheremainsofamissingNorthernCaliforniagirl,0.0,Neutral
IhopetheywillincreasethecapacityfastyesterdaywassuchapainGotthefailwhale15timesin2hours,0.0,Neutral
Behindonmyclassesforwork,0.0,Neutral
watchingquotHousequot,0.0,Neutral
RemembermybumlegStrikesbackthistimeitsserious,0.0,Neutral
cooliwilltheirareallkindsofcomplaintsaboutthislaptoponlineaboutoverheatingbutnorecalls,0.0,Neutral
EmilywillbegladwhenMommyisdonetrainingathernewjobShemissesher,0.0,Neutral
wouldratherthefirstpartysendbadmessagesthanthe3rdpartysendmixedonesSophmoreyearalloveragain,0.0,Neutral
itsoverrated,0.0,Neutral
qiknowIhearditthisafternoonandwonderedthesamethingMoscowissobehindthetimes,0.0,Neutral
layinginbedwithnovoice,0.0,Neutral
ImsooosadtheykilledoffKutneronHousewhyyyyyyyy,0.0,Neutral
SorrytellthemmeaculpafrommeandthatIreallyamsorry,0.0,Neutral
itdidntmakeanysensetomethesuicidethingIrefusetobelievethatthatisactuallywhathappened,0.0,Neutral
DamnThegrindisinspirationalandsaddeningatthesametimeDontwantyoutostopcuzIlikewhatudoMuchlove,0.0,Neutral
yeahawbutiknowiwudntstandachance,0.0,Neutral
ughcantsleepits130am,0.0,Neutral
HanginginCroonersWannasingCantSucks,0.0,Neutral
sCaawimissyaalltooimleavingtoBHtomorrowquotmorningquotithinkawwiwannagotothebeachwugirls,0.0,Neutral
IspissedoffthattheresnoASBAsforaradiostation,0.0,Neutral
wednesdaymybdayndontknowwhat2do,0.0,Neutral
IknowmylifehasbeenflippedupsidedownwhenIjustthoughtinmyheadthatsomeRamensoundsgood,0.0,Neutral
IaminpainMybackandsideshurtNottomentioncryingismadeoffail,0.0,Neutral
LatenightsnackglassofOJbcImquotdownwiththesicknessquotthenbacktosleepughIhategettingsick,0.0,Neutral
butbutbutImnotabigfanoncamillabelle,0.0,Neutral
WAHIcantseeclipmustbeelstupidoworkfiltersCantwaittillIgetaputerSomethingelse2blameex4Hebrokemine,0.0,Neutral
ThisweekjustseemstogetlongerandlongerintermsofhowmuchIneedtodoandhowmuchImactuallygoingtogetdone,0.0,Neutral
EhhhdontWeathersgonnatakeaturnfortheuglytomorrow,0.0,Neutral
hahaitssocoooooldinthedandnobutyoushouldstillgototheshowtheydosomeincrediblestuff,0.0,Neutral
Hopingthetummyrumblesgoawaysoon,0.0,Neutral
NononoticeTheytoldmeIdbeworkingtomorrowandthenIcalledtheagencytofollowupandtheysaiditwasover,0.0,Neutral
almostbedtime,0.0,Neutral
ImmissingyoubabebutaslongasyouraliveImhappyYawwwnnImtiredmyloveimmatrytosleephopefullyyouhadaheadstart,0.0,Neutral
imisskennypowers,0.0,Neutral
ThankyouforlettingpeopleknowbutnowImsadthatthedirectmessageIgotwasntactuallyfromBridget,0.0,Neutral
andIndiamissedoutits100thTestvictoryn10thconsecutivewinwithoutaloss,0.0,Neutral
Iguessthatsanothen,0.0,Neutral
sadlyisgoingtobed,0.0,Neutral
ShametohearthisStephan,0.0,Neutral
heyimleavininthemorning,0.0,Neutral
Wasintendingtofinisheditingmy536pagenovelmanuscripttonightbutthatwillprobablynothappenAndonly12pagesareleft,0.0,Neutral
laidaroundtoomuchtodaynowmyheadhurts,0.0,Neutral
Istillhaventreadthe9thamp10thPrincessdiariesSavingFrancescamademecryattheendHmmthoseareeasybooks,0.0,Neutral
mynokia1110died,0.0,Neutral
MymommighthavebreastcancerwontfindoutanythingforLikeaweekImsoworried,0.0,Neutral
GoingtosleepHopingtomorrowisabetterday,0.0,Neutral
lolwishtheyunderstooddaylightsavingshasendedthoughandbreakfastisanhourlaterTheykeepwakingthekidsuptoo,0.0,Neutral
IdontunderstandIreallydont,0.0,Neutral
HEROESjustisntdoingitformethisseason,0.0,Neutral
Livingnotdowntownsureisntmuchfun,0.0,Neutral
NotcaloriewiseIwishjunkfoodwascaloriefreeIateathingofsourskittlesandabigasscherrycoke,0.0,Neutral
ManWorkisHard,0.0,Neutral
gettingsicktimeforsomehotteastudyingandthensleeeep,0.0,Neutral
GettingeyebrowswaxedMorepain,0.0,Neutral
Nophantasystaryesterdaygoingtowork,0.0,Neutral
OhJustgotallmyMacHeist30appssweetDidntgettheEspressoserialnothoughalthoughtheysaidtheysentitohwell,0.0,Neutral
PickedMichSttowinitallfromthegetgoWasfeelingprettygoodaboutthatpickallthewayupuntiltonightAslosttoo,0.0,Neutral
isalonedownstairsworking,0.0,Neutral
Ifeelbadfordoingit,0.0,Neutral
isitjustmeorshehatesanoopimeanseriouslysheskindameantohim,0.0,Neutral
yessprinthas4gonlyinbaltimoreandchicagosofar,0.0,Neutral
ImstuckawakeinthemiddleofthenightfortheseconddayinarowAndIfeltterribleyesterday,0.0,Neutral
Thanksforburstingmybubble,0.0,Neutral
Goingtoschoolsooncantfindanythingtoweargoshitssohard,0.0,Neutral
IwasseriousLOL,0.0,Neutral
IhadonmypageforsooooolongUntilitgotdeletedSaddayinhistory,0.0,Neutral
Crazywindtodaynobirding,0.0,Neutral
currentlyatwork,0.0,Neutral
GrrrmyipodsactingweirdtooJaihoandthinkingofyouarentplayingthefullsongsughh,0.0,Neutral
sendmetheDVDcosIhavemissedoutonheapsNOThappyaboutthat,0.0,Neutral
idontseethebigdealwiththiswebsite,0.0,Neutral
ImsosorryyourehavingtogothroughthisAgaintherapyfail,0.0,Neutral
Fartoooutofthewayforrailanyothertips,0.0,Neutral
ImnotstillupIswearWhydoIkeeplosinggaininglosinggainingtweepsSoheartwrenching,0.0,Neutral
TodayIrealizedIamtoogoodathidingthingsevenIcantfindit,0.0,Neutral
StayingatafriendshousehousesittingneighborsareSOloudhavingaparty,0.0,Neutral
dannyimupsetthatiwasntheretowatchthelivechatiwasinacarfor3hoursonatripimsooooupset,0.0,Neutral
Checkoutmymug,0.0,Neutral
Bordersclosedat10,0.0,Neutral
DownloadingNINsnewalbumquottheslipquotwhenthehelldidthiscomeoutImsobehindthetimesthesedays,0.0,Neutral
JustwokeupanalreadyhavewrittensomeemailIvetogoearlyatUniversitytodayasIhavetoteachat830AM,0.0,Neutral
iswatchingthehillanditsmakingmesad,0.0,Neutral
Somanychannelsyetsosoboringlazydayagainmayhavetofindahobby,0.0,Neutral
ImissmybuddyillbeinNYonthe25th,0.0,Neutral
lovethefrenchItellpeoplehereinthesouthimqtrfrenchandtheysnarlatmefrencharebeautifulpeople,0.0,Neutral
OppsAsIsaidIstillgotonedayremainandnowproblemcome,0.0,Neutral
IactivatedmySelfcontrolblockearlymeaningIcantcheckoutthenewQCRegularizingmyinternalclockismightbedifficultfb,0.0,Neutral
spencerisnotagoodguy,0.0,Neutral
WhataboutReesedyingonTTSCAndseasonfinalenextweek24boringMadamePresidentisacrazywoman,0.0,Neutral
IhatethelimitedletterstooHopeyouandtheguysarefineIprayformydogshesnotwell,0.0,Neutral
didntgetshitdonetodayimsoscrewed,0.0,Neutral
wanttsstogoout,0.0,Neutral
Isnotgoingtosleeptonite,0.0,Neutral
tooworriedandtiredtoposttonight,0.0,Neutral
couldntgetshitdonetodayimsoscrewed,0.0,Neutral
JobInterviewinCardifftodaywishmeluckGotabout3hourssleep,0.0,Neutral
YourshowiswhackWayworsethanwhackitswiggetywhack,0.0,Neutral
IreallydontthinkpeoplechoosetobethatwayButIthinkhechosenottoacceptmyfamilyshelpHemightbedeadbynow,0.0,Neutral
YouregoingtokillmebutIvenotseenDS9IvebeenwaitingtillIcandoitinonesolidweeksitting,0.0,Neutral
ithinkurrighthahaha45hrsnow,0.0,Neutral
ihatetoseethespartanssosad,0.0,Neutral
MymindandbodyareseverelyprotestingthisquotgettingupquotthingHadnightmarestoboot,0.0,Neutral
ImgointofollowusinceudidntLOLGOANGELS,0.0,Neutral
IthinkIwanttoreadsomebooksbutthelibrarydoesnthavethem,0.0,Neutral
MynapwasinterruptedsomanytimestodayGoingoutforJapanesewiththerentsagain,0.0,Neutral
KindoflongsforthebusthatshowsupattheendofGhostWorldrightnowUgh,0.0,Neutral
butthisiscanadacanadaisweirdweresupposedtogetsnowthroughwednesdayugh,0.0,Neutral
AwwhbabsyoulooksosadunderneiththatshopentranceofquotYesterdaysMusikquotOIlikethelookofthenewtransformermovie,0.0,Neutral
sadthatthefeetofmymacbookjustfelloff,0.0,Neutral
Imgonnagetuplatetomorrowandits132amhereIgonnagettipsybymylonesomeThatsthatsjustsad,0.0,Neutral
ImsweatingmyforthcomingtriptoE3IfIcantfindsomeonetocrashwithwhileImoutthereImaybescrewed,0.0,Neutral
Hasnowgottensomebodytoreadhistweetsbutcantgetthemtomakeanaccount,0.0,Neutral
omgawdicouldnthandlemycatbeinginheatallthetimeDD,0.0,Neutral
Ihopeicanmakeittotheauburnshowbutitsnotlookinggoodforme,0.0,Neutral
Henriethatspeoplemaghahaicouldntfititallinidontthinkthosepicturesevermadeitinthemagazinethohaha,0.0,Neutral
Congratsitotallyforgottosubmitphotos,0.0,Neutral
awwwGoodluckPaulaPleasedontworktoohardbutIhopeyouhavefunYournewalbumisgonnabeamazingxxx,0.0,Neutral
nowyourleavingmegetssad,0.0,Neutral
ImissyoutwitterMyphonebrokenowImusingastupidNokiaphoneUghhhImissmyadvancephone,0.0,Neutral
SHOOTINGOUTSIDEMYHOUSEONOTKIDDINGSoSCARED,0.0,Neutral
TuesdayllstartwithreflectionnthenalectureinStressreducingtechniquesThatsuremightbecomeveryusefulforusaccompaniers,0.0,Neutral
Whattragedyanddisasterinthenewsthisweek,0.0,Neutral
yesyesstilltryingtofindapicturethatwilluploadcorreclty,0.0,Neutral
WhyohwhywastheRedSoxgamerainedoutIwassolookingforwardtoopeningday,0.0,Neutral
Istillcantfindmykeys,0.0,Neutral
IknowrightIdunnowhatisgoingonwithtwitter,0.0,Neutral
mightbegettingasorethroatagain,0.0,Neutral
myhometownMymammycalledalldepressdPlsexplainyaparentlettheir8yroldchildwalkaloneHelloIts2009,0.0,Neutral
IthinkIneedtofindbetterantidepressantsIthinkthisPaxilWellbutrincomboislosingitsefficacy,0.0,Neutral
RestaurantcalledWoodNTaphascompetitiveeatingtourneyroundtourneytimeWeplace2nd,0.0,Neutral
isinthebathroomwakeuplakin,0.0,Neutral
iwanttacosandmargarhitastelllgayisayhellolt3,0.0,Neutral
imlonelykeepmecompany22femalecalifornia,0.0,Neutral
baddayatthebetfairoffice,0.0,Neutral
ImisshimCantwaittocelebratetheTarHeelwinthisweekendthough,0.0,Neutral
ImreallycoldIdontwanttogotosleepyetbuttheresnothingtodo,0.0,Neutral
isthisit4uItsofficiallyover4methisgoround,0.0,Neutral
monkeysijustfoundoutyoumytwinandyouwontevenwritebackimheartbroken,0.0,Neutral
omAwwIknowIfeltlikethatyesterdayatwork,0.0,Neutral
treatyisntdefined,0.0,Neutral
missedBrentatpraisebandNofuntonothavetheyourleadguitaristltpoutgt,0.0,Neutral
poorjohnthisiswhathappenswhenyouplaywithfruitandamicrowaveSeriouslythoughHAVEyouseenadoctorXxx,0.0,Neutral
MissingMyBFFwatchinghomeandawayitremindsmeofherandmewelt3Itshoutouttoucourts,0.0,Neutral
NewvideocardisDOA,0.0,Neutral
feelinglostnakedandconfusedJKsortofnoiphoneforme,0.0,Neutral
Damniamsolateatfillingthisappraisalformpeoplehavealmostsentitiwassooccupiedinwork,0.0,Neutral
missedBrentatpraisebandNofuntonothaveyourleadguitaristltpoutgt,0.0,Neutral
ithinktomuchonthepasticantchangeitideservedsomuchmorethenwatigotbutwhyamistillthinkingabouthimgah,0.0,Neutral
haslosthisringItsnowheretobeseen,0.0,Neutral
OooooohsealclapSeeIdownloadshitloadsofzipfoldersoff4chanIhavenointernetmoneysFUCKYEAHALICIAampMIKEY,0.0,Neutral
IsstillnursingmyNilebutgladheisfeelingbetterIhatewhenmybabyissick,0.0,Neutral
IsfuckedtogobacktoIC,0.0,Neutral
yoyoyomyinternethasbeenrudetonightitJUSTreconnectedandImabouttogotobed,0.0,Neutral
wellihaveunistuffandnetballbutafternetbalifivedoneunistuffwecan,0.0,Neutral
MetooIispoor,0.0,Neutral
helpmeforget8thaprilamp13thjuly,0.0,Neutral
dierksbentleyiscomintocolumbusOHiwannagosobad,0.0,Neutral
ihavetotakemysidekickback,0.0,Neutral
congratsImtotallyjealousonlywishmyXMwasworking,0.0,Neutral
gr8tmyfaceisveryitchy,0.0,Neutral
poorsocksluvvvvvthegoldenretrieverIwantonesighhhh,0.0,Neutral
IjustsawthattheyfoundthatTracygirlinapieceofluggageHowfuckingterrible,0.0,Neutral
Aaaaandthenauseaisback,0.0,Neutral
oohImexcitedandnotevengoing2betherelongloveYOUTUBE,0.0,Neutral
spent1hourtoreachtoAxisbankonlytofindouttodayisholidayforMahavirJayanticontd,0.0,Neutral
iagreethejobrosdontupdatetheresveryoften,0.0,Neutral
itishilariousandIlinkedtheclipfromLJsometimeagobutwhenIwentbackjustnowitwasadeadlink,0.0,Neutral
OOOOOOOOwhowithimnotneitherbutthatsbecauseineedtostudy,0.0,Neutral
HaventtweetednearlyalldayPostedmywebsitetonighthopefullythatgoeswellNighttime,0.0,Neutral
Imissbentley,0.0,Neutral
seriouslyneedstofinishthesejobapplications,0.0,Neutral
MysonVincasissicksoIstayathomeJustthreetensedaysatworkandIambackonholidaywithkids,0.0,Neutral
WhingingMyclientampbossdontunderstandEnglishwellRewrotesometextunreadableItswrittenbyvgoodwriterampreviewedcorrectly,0.0,Neutral
Idontwanthimtoeverpunchme,0.0,Neutral
sooosickofthesnowughh,0.0,Neutral
itdoesntworkyourfanisupset,0.0,Neutral
IwouldliketoapologizefortherepeatedVideoGamesLiverelatedtweetsIamgoingtohaveasterndiscussionwithKoodosoonStern,0.0,Neutral
buticantfigureouthowtogettherebackpayforahoteletc,0.0,Neutral
FMLSomuchforsenioritybcoftechnologicalineptnessInowhavetoquotregisterquotforclassesAGAIN,0.0,Neutral
feelslikeshesleptthedayawayNotlookingforwardtoanymoreboutswithmygallbladderAtleastIhavepillsnowforthepain,0.0,Neutral
butwhatIreallywantismyoldbassback,0.0,Neutral
MadtiredtodayCallinitinearlytonightnightynighttwittas,0.0,Neutral
Takeiteasyandbegoodtoyou,0.0,Neutral
ImafraidIhadbadcode,0.0,Neutral
ThinkImgoingtobedGoodniightIhatethis,0.0,Neutral
imherefriendandiloveyou,0.0,Neutral
AllthistimeyoudidntnoticeIwasgonejustneededDB2isit,0.0,Neutral
isinthebathroomandihavetopee,0.0,Neutral
butIwantedamargaritatoo,0.0,Neutral
yupnightworkoutsrtheworstbutunfortunetlymyworkscheduleonlyallowsmetogoatnightitstough,0.0,Neutral
JustcalledHillsongagaintheysaidtheycouldnttellmewhereIwasonthewaitinglistIdontknowifitslookingsogood,0.0,Neutral
has0gofmilkybarleftandaround200mlofcoke,0.0,Neutral
Itstillllllhasntarrived,0.0,Neutral
MraowIfeellikedancingbutfirstartschoolwantstorapemesomemore,0.0,Neutral
ahIbetitdoesIvebeenlikecravingtoplaysoftballorbasketballButIhavenootime,0.0,Neutral
Isterrifiedsheaccidentallydeletedareferenceinhermanagementassignmentandhopesshedoesntgetintroublewhenshegetsback,0.0,Neutral
amazons3pluginnotworkedinmywebsiteitneedPHP5butmyhostingproviderhasonlyPHP44verysad,0.0,Neutral
ArghIwassuuupersleepyanhouragonowImwideawakeHopeIdontstayupallnight,0.0,Neutral
IwishIwasSoldoutIfyouhavesometimeletmeknowIwouldlovetohearmoreaboutwhatyouareupto,0.0,Neutral
JustwatchedtropicthunderDreadingtomorrow,0.0,Neutral
nohesstillmissn,0.0,Neutral
ChiefDelphiisdown,0.0,Neutral
accordingtomybroournewpuppyhadapoofightandwascoveredinpooppicturestolenfromhim,0.0,Neutral
playinggameathomemynewbossdidntcallmeyet,0.0,Neutral
SuyinHuentweetedIfeelunbearableguiltImademystaffcry,0.0,Neutral
PoorJoshyissickthosedamntejanos,0.0,Neutral
MythoughtsarewithSandraCantusfamilyatthisdifficultandsadtime,0.0,Neutral
Iknowjustwantedtoleteverybodyknowwhatwashappening,0.0,Neutral
MichiganwhoIdontknowthemsighShameful,0.0,Neutral
ihavetofilltwohours,0.0,Neutral
socuuuteheyimissyounaitsnotthesamenotseeingyougirlseveryday,0.0,Neutral
OhDidImentionitquotGoooooodMoooorniiiiiiingquotfromGermanyImbackinmycageorbettermyoffice,0.0,Neutral
throatisclosingupandihadsomestringcheesenotagoodidea,0.0,Neutral
AwwSandraCantuisfounddeadinasuitcaseMissingchildrenstoriesneverseemtogogoodPoorfamily,0.0,Neutral
wishingiwashomeunderneathmycovers,0.0,Neutral
walkinghomefromschooldrainsallmyenergy,0.0,Neutral
IagreeTheshapeshiftingisacopoutIwassoexcitedforAngelasepIthoughtitwasthisweekNoahwasawesometho,0.0,Neutral
DangIwouldhavedonethisifIknewitwasthereearlierAnyotheroutingsplanned,0.0,Neutral
IwishIwasbetteratwritingItstakingmesolongtowritethispaper,0.0,Neutral
andofcourseIhaveaccesstomyHalo3MythicMapPackredownloadbutbadnewsnottheLegendaryMapPackugh600MS,0.0,Neutral
notyetunfortunatelyanotherfewweeksIvebeentoldHowareyouIvebeenalittlebitbusywithmylatestproject,0.0,Neutral
Hathesunsalreadygone,0.0,Neutral
day2alotharderthanday1letsseehowday3goestomorrow,0.0,Neutral
MymancrushJakePeavyletmedowngayforpeavy,0.0,Neutral
megafasttripyouhavetimeduringdaytomwedsOryougoingouttonightWanttoseeyoubadTriedtowarnyoutechfail,0.0,Neutral
michiganstateyoumakemesad,0.0,Neutral
omgmymouthisinsomuchpainijustwannasleepuntillitstimetotakemybracesoff,0.0,Neutral
gettingannoyedeasilytodaygtgtgtbiofuelproposalgettingannoyedeasilytodaygtgtgtbiof,0.0,Neutral
HeygirlThesiteisbackGirlyvueisbackandtheyhaveevenmorevideos,0.0,Neutral
imspendingtimewithmygrandmaearlytomorrowandicantleaveskittlesbyherself,0.0,Neutral
justgothomefromwatchingMichiganStategettromped,0.0,Neutral
OhjewbusTwoyearsworthofclassesworkisALOTtoorganizegtltimnotfinishingtonightitsnotpossiblemybonesache,0.0,Neutral
noexchangingformemylaptophasntarrived,0.0,Neutral
ihopethisdoesntlasttoolongifeelmiserable,0.0,Neutral
RACHELhangoutageisneccessaryiwasgonnabehomethiswekendbutdumbfolkmakemeworksoimfreeFandSatuntil4,0.0,Neutral
NotFunampFuriousThenewmantrafortheBay2BreakersItwasgetting2rambunctiousthecityoverreactedampclampeddown,0.0,Neutral
bensonmyhubbyforsomereasonthinksitsmoreimportanthehasagoodspotforredcarpetfortheTrekMoviePremiereSod,0.0,Neutral
IswearnomatterhowlongIvebeengettingupat5amitnevergetsanyeasierManmyeyeshurtswah,0.0,Neutral
StarJeffreeHowdoyoukeepyourhaironecolorMyPERMANENTdyefadeswithintheweek,0.0,Neutral
myreactiontoowhoadidntseethatcoming,0.0,Neutral
stillsickfeelingabitbettergotsomenewmedicinehopeIfeelgoodafteranightofsleepohhanditssupposetosnowWTF,0.0,Neutral
IthinkmaybeyoushouldgetacouplemorehoursofsleephonHowproductivecanyouberightnowifurdogtiredIworry,0.0,Neutral
ThanksalotLearnedalotofnewwordsbutdidntfindwhatIwaslookingfor,0.0,Neutral
WishIhadalltheXBLMdownloadsallonthegamertagHitokyriThis5gamertagthingisnonsenseandImtiredofit,0.0,Neutral
NewTestamentTestat930am,0.0,Neutral
tonsnohayTrollahhhh,0.0,Neutral
stupidmovieswewatchedmirrorsuggggghstooopeeedripoff,0.0,Neutral
IloveyouBuck,0.0,Neutral
lastonebutstillnotdone,0.0,Neutral
IdontunderstandwhythingsgettakenawayIdidnthaveenoughtimewithhimitsunfairIwanthimbackHewaslikemybaby,0.0,Neutral
ScratchthatduinheiftwoinahalfcookiesMytumjustcanttakeanymoreshoogPoots,0.0,Neutral
iwasjustlisteningtothesweetsforthefirsttimeinforeverimissthemsomuchcanwegotochitownforvisitsplz,0.0,Neutral
